"","Package","Version","License","Built"
"229","patchwork","1.2.0","MIT + file LICENSE","4.4.1"
"230","pbapply","1.7-2","GPL (>= 2)","4.4.1"
"231","pd.hg.u133.plus.2","3.12.0","Artistic-2.0","4.4.1"
"232","pd.hugene.1.0.st.v1","3.14.1","Artistic-2.0","4.4.1"
"233","PFAM.db","3.19.1","Artistic-2.0","4.4.1"
"234","pheatmap","1.0.12","GPL-2","4.4.1"
"235","pillar","1.9.0","MIT + file LICENSE","4.4.1"
"236","pkgbuild","1.4.4","MIT + file LICENSE","4.4.1"
"237","pkgconfig","2.0.3","MIT + file LICENSE","4.4.1"
"238","pkgdown","2.1.0","MIT + file LICENSE","4.4.1"
"239","pkgload","1.4.0","GPL-3","4.4.1"
"240","plogr","0.2.0","MIT + file LICENSE","4.4.1"
"241","plotly","4.10.4","MIT + file LICENSE","4.4.1"
"242","plyr","1.8.9","MIT + file LICENSE","4.4.1"
"243","png","0.1-8","GPL-2 | GPL-3","4.4.1"
"244","polyclip","1.10-6","BSL","4.4.1"
"245","praise","1.0.0","MIT + file LICENSE","4.4.1"
"246","preprocessCore","1.66.0","LGPL (>= 2)","4.4.1"
"247","prettyunits","1.2.0","MIT + file LICENSE","4.4.1"
"248","processx","3.8.4","MIT + file LICENSE","4.4.1"
"249","profvis","0.3.8","GPL-3 | file LICENSE","4.4.1"
"250","progress","1.2.3","MIT + file LICENSE","4.4.1"
"251","progressr","0.14.0","GPL (>= 3)","4.4.1"
"252","promises","1.3.0","MIT + file LICENSE","4.4.1"
"253","ProtGenerics","1.36.0","Artistic-2.0","4.4.1"
"254","ps","1.7.7","MIT + file LICENSE","4.4.1"
"255","purrr","1.0.2","MIT + file LICENSE","4.4.1"
"256","quadprog","1.5-8","GPL (>= 2)","4.4.1"
"257","qvalue","2.36.0","LGPL","4.4.1"
"258","R.methodsS3","1.8.2","LGPL (>= 2.1)","4.4.1"
"259","R.oo","1.26.0","LGPL (>= 2.1)","4.4.1"
"260","R.utils","2.12.3","LGPL (>= 2.1)","4.4.1"
"261","R6","2.5.1","MIT + file LICENSE","4.4.1"
"262","ragg","1.3.2","MIT + file LICENSE","4.4.1"
"263","RANN","2.6.1","GPL (>= 3)","4.4.1"
"264","rappdirs","0.3.3","MIT + file LICENSE","4.4.1"
"265","RBGL","1.80.0","Artistic-2.0","4.4.1"
"266","rcmdcheck","1.4.0","MIT + file LICENSE","4.4.1"
"267","RColorBrewer","1.1-3","Apache License 2.0","4.4.1"
"268","Rcpp","1.0.13","GPL (>= 2)","4.4.1"
"269","RcppAnnoy","0.0.22","GPL (>= 2)","4.4.1"
"270","RcppArmadillo","14.0.0-1","GPL (>= 2)","4.4.1"
"271","RcppEigen","0.3.4.0.0","GPL (>= 2) | file LICENSE","4.4.1"
"272","RcppHNSW","0.6.0","GPL (>= 3)","4.4.1"
"273","RcppML","0.3.7","GPL (>= 2)","4.4.1"
"274","RcppProgress","0.4.2","GPL (>= 3)","4.4.1"
"275","RcppTOML","0.2.2","GPL (>= 2)","4.4.1"
"276","RCurl","1.98-1.16","BSD_3_clause + file LICENSE","4.4.1"
"277","readr","2.1.5","MIT + file LICENSE","4.4.1"
"278","readxl","1.4.3","MIT + file LICENSE","4.4.1"
"279","rematch","2.0.0","MIT + file LICENSE","4.4.1"
"280","rematch2","2.1.2","MIT + file LICENSE","4.4.1"
"281","remotes","2.5.0","MIT + file LICENSE","4.4.1"
"282","ReportingTools","2.44.0","Artistic-2.0","4.4.1"
"283","reprex","2.1.1","MIT + file LICENSE","4.4.1"
"284","reshape","0.8.9","MIT + file LICENSE","4.4.1"
"285","reshape2","1.4.4","MIT + file LICENSE","4.4.1"
"286","restfulr","0.0.15","Artistic-2.0","4.4.1"
"287","reticulate","1.38.0","Apache License 2.0","4.4.1"
"288","Rgraphviz","2.48.0","EPL","4.4.1"
"289","rhdf5","2.48.0","Artistic-2.0","4.4.1"
"290","rhdf5filters","1.16.0","BSD_2_clause + file LICENSE","4.4.1"
"291","Rhdf5lib","1.26.0","Artistic-2.0","4.4.1"
"292","Rhtslib","3.0.0","LGPL (>= 2)","4.4.1"
"293","rjson","0.2.21","GPL-2","4.4.1"
"294","RJSONIO","1.3-1.9","BSD_3_clause + file LICENSE","4.4.1"
"295","rlang","1.1.4","MIT + file LICENSE","4.4.1"
"296","rmarkdown","2.27","GPL-3","4.4.1"
"297","rngtools","1.5.2","GPL-3","4.4.1"
"298","ROCR","1.0-11","GPL (>= 2)","4.4.1"
"299","roxygen2","7.3.2","MIT + file LICENSE","4.4.1"
"300","rprojroot","2.0.4","MIT + file LICENSE","4.4.1"
"301","Rsamtools","2.20.0","Artistic-2.0 | file LICENSE","4.4.1"
"302","RSpectra","0.16-2","MPL (>= 2)","4.4.1"
"303","RSQLite","2.3.7","LGPL (>= 2.1)","4.4.1"
"304","rstudioapi","0.16.0","MIT + file LICENSE","4.4.1"
"305","rsvd","1.0.5","GPL (>= 3)","4.4.1"
"306","rtracklayer","1.64.0","Artistic-2.0 + file LICENSE","4.4.1"
"307","Rtsne","0.17","file LICENSE","4.4.1"
"308","rversions","2.1.2","MIT + file LICENSE","4.4.1"
"309","rvest","1.0.4","MIT + file LICENSE","4.4.1"
"310","S4Arrays","1.4.1","Artistic-2.0","4.4.1"
"311","S4Vectors","0.42.1","Artistic-2.0","4.4.1"
"312","sass","0.4.9","MIT + file LICENSE","4.4.1"
"313","ScaledMatrix","1.12.0","GPL-3","4.4.1"
"314","scales","1.3.0","MIT + file LICENSE","4.4.1"
"315","scater","1.32.0","GPL-3","4.4.1"
"316","scattermore","1.2","GPL (>= 3)","4.4.1"
"317","scatterpie","0.2.3","Artistic-2.0","4.4.1"
"318","scran","1.32.0","GPL-3","4.4.1"
"319","scrime","1.3.5","GPL-2","4.4.1"
"320","sctransform","0.4.1","GPL-3 | file LICENSE","4.4.1"
"321","scuttle","1.14.0","GPL-3","4.4.1"
"322","selectr","0.4-2","BSD_3_clause + file LICENCE","4.4.1"
"323","sessioninfo","1.2.2","GPL-2","4.4.1"
"324","Seurat","5.1.0","MIT + file LICENSE","4.4.1"
"325","SeuratObject","5.0.2","MIT + file LICENSE","4.4.1"
"326","shadowtext","0.1.4","Artistic-2.0","4.4.1"
"327","shiny","1.8.1.1","GPL-3 | file LICENSE","4.4.1"
"328","siggenes","1.78.0","LGPL (>= 2)","4.4.1"
"329","SingleCellExperiment","1.26.0","GPL-3","4.4.1"
"330","sitmo","2.0.2","MIT + file LICENSE","4.4.1"
"331","snow","0.4-4","GPL","4.4.1"
"332","SoupX","1.6.2","GPL-2","4.4.1"
"333","sourcetools","0.1.7-1","MIT + file LICENSE","4.4.1"
"334","sp","2.1-4","GPL (>= 2)","4.4.1"
"335","spam","2.10-0","LGPL-2 | BSD_3_clause + file LICENSE","4.4.1"
"336","SparseArray","1.4.8","Artistic-2.0","4.4.1"
"337","sparseMatrixStats","1.16.0","MIT + file LICENSE","4.4.1"
"338","spatstat.data","3.1-2","GPL (>= 2)","4.4.1"
"339","spatstat.explore","3.3-1","GPL (>= 2)","4.4.1"
"340","spatstat.geom","3.3-2","GPL (>= 2)","4.4.1"
"341","spatstat.random","3.3-1","GPL (>= 2)","4.4.1"
"342","spatstat.sparse","3.1-0","GPL (>= 2)","4.4.1"
"343","spatstat.univar","3.0-0","GPL (>= 2)","4.4.1"
"344","spatstat.utils","3.0-5","GPL (>= 2)","4.4.1"
"345","statmod","1.5.0","GPL-2 | GPL-3","4.4.1"
"346","stringi","1.8.4","file LICENSE","4.4.1"
"347","stringr","1.5.1","MIT + file LICENSE","4.4.1"
"348","SummarizedExperiment","1.34.0","Artistic-2.0","4.4.1"
"349","sva","3.52.0","Artistic-2.0","4.4.1"
"350","sys","3.4.2","MIT + file LICENSE","4.4.1"
"351","systemfonts","1.1.0","MIT + file LICENSE","4.4.1"
"352","tensor","1.5","GPL (>= 2)","4.4.1"
"353","testthat","3.2.1.1","MIT + file LICENSE","4.4.1"
"354","textshaping","0.4.0","MIT + file LICENSE","4.4.1"
